,text,is_question,label,first_word,indexed_start,question_start,last_four_chars,ends_with_ks,contains_ks,lower_start,upper_start,contains_prompt_word,starts_with_prompt_word,single_word
1600,She enjoys reading books in her free time. The painting was a masterpiece of color and emotion.,0,No,she,0,0,ion.,0,0,0,1,0,0,0
950,Music has a way of bringing people together. They went for a long hike in the mountains.,0,No,music,0,0,ins.,0,0,0,1,0,0,0
876,58. Define the key concepts of Science. (7 Marks),1,Yes,58.,1,0,rks),1,1,0,0,1,1,0
164,58) Describe an important concept in Economics and its significance. (4 marks),1,yes,58),0,0,rks),1,1,0,0,1,1,0
1279,Music has a way of bringing people together. They went for a long hike in the mountains.,0,No,music,0,0,ins.,0,0,0,1,0,0,0
72,Calculus allows ks) the calculation of change and motion,0,no,calculus,0,0,tion,0,1,0,1,0,0,0
250,Information related to Physics that does not ask for a response.,0,no,information,0,0,nse.,0,0,0,1,1,0,0
325,Cells are the basic building blocks of all organisms ks,0,no,cells,0,0,s ks,0,0,0,1,0,0,0
1668,159. Outline the key concepts of Geography. (10 Marks),1,Yes,159.,1,0,rks),1,1,0,0,0,0,0
1011,The Roman Empire influenced modern governmental structures mks,0,no,the,0,0, mks,0,0,0,1,0,0,0
1671,(a) State and explain any TEN factors that affect malaria transmission [10Mks],1,tbd,(a),1,0,Mks],1,1,0,0,1,0,0
916,XXXI) Compare the key concepts of Economics. (10 Marks),1,Yes,xxxi),0,0,rks),1,1,0,1,1,1,0
1233,Faith practices can vary significantly across denominations mks),0,no,faith,0,0,mks),1,1,0,1,0,0,0
908,Strathmore,0,tbd,strathmore,0,0,more,0,0,0,1,0,0,1
596,Cells are the basic building blocks of all organisms mks,0,no,cells,0,0, mks,0,0,0,1,0,0,0
1281,ks) Energy conservation is a fundamental concept in physics,0,no,ks),0,0,sics,0,1,1,0,0,0,0
558,Technology is evolving at a rapid pace. It was a sunny day in Paris.,0,No,technology,0,0,ris.,0,0,0,1,0,0,0
1068,"""Risk identification forms the foundation of comprehensive risk management. Given the evolution of risks in the modern global context, including technological, environmental, and geopolitical risks, traditional risk identification methods may need to be supplemented or rethought.”",1,tbd,"""risk",0,0,ht.”,0,0,0,0,1,0,0
533,They went for a long hike in the mountains. The painting was a masterpiece of color and emotion.,0,No,they,0,0,ion.,0,0,0,1,0,0,0
1728,This examination consists of FIVE questions.,0,tbd,this,0,0,ons.,0,0,0,1,0,0,0
728,Gravity affects the motion of objects on Earth mks,0,no,gravity,0,0, mks,0,0,0,1,0,0,0
566,d) Explain the key concepts of Literature. (2 Marks),1,Yes,d),1,0,rks),1,1,1,0,1,1,0
542,The cat sat on the mat. It was a sunny day in Paris.,0,No,the,0,0,ris.,0,0,0,1,0,0,0
1261,(ii) State and explain any FIVE methods of Prevention and Control of HIV/AIDs [10Mks],1,tbd,(ii),1,0,Mks],1,1,0,0,1,0,0
499,In what ways is the church in Kenya promoting justice in society? (6 mks),1,tbd,in,0,0,mks),1,1,0,1,1,1,0
655,b) Why did Jesus use parables in his teachings: (6 mks),1,tbd,b),1,0,mks),1,1,1,0,1,1,0
722,"; name, idumber, and course and then (8 Marks)",1,tbd,;,0,0,rks),1,1,0,0,0,0,0
534,Photosynthesis converts solar energy into chemical energy rks,0,no,photosynthesis,0,0, rks,0,0,0,1,0,0,0
1582,It was a sunny day in Paris. The painting was a masterpiece of color and emotion.,0,No,it,0,0,ion.,0,0,0,1,0,0,0
1591,"Geometry involves studying shapes, sizes, and their properties mks)",0,no,geometry,0,0,mks),1,1,0,1,0,0,0
1732,Technology is evolving at a rapid pace. He cooked a delicious meal for dinner.,0,No,technology,0,0,ner.,0,0,0,1,0,0,0
1306,70. Describe the key concepts of Geography. (5 Marks),1,Yes,70.,1,0,rks),1,1,0,0,1,1,0
475,He cooked a delicious meal for dinner. They went for a long hike in the mountains.,0,No,he,0,0,ins.,0,0,0,1,0,0,0
1352,196. Compare the key concepts of Literature. (8 Marks),1,Yes,196.,1,0,rks),1,1,0,0,1,1,0
292,The cat sat on the mat. The painting was a masterpiece of color and emotion.,0,No,the,0,0,ion.,0,0,0,1,0,0,0
1570,DATE: 6% September 2021,0,tbd,date:,0,0,2021,0,0,0,1,0,0,0
1642,XV) Explain the key concepts of Economics. (9 Marks),1,Yes,xv),0,0,rks),1,1,0,1,1,1,0
624,Technology is evolving at a rapid pace. She enjoys reading books in her free time.,0,No,technology,0,0,ime.,0,0,0,1,0,0,0
1435,MASTER OF SCIENCE IN DATA SCIENCE AND ANALYTICS,0,tbd,master,0,0,TICS,0,0,0,1,0,0,0
665,Instructions &,0,tbd,instructions,0,0,ns &,0,0,0,1,0,0,0
1495,sed in structured programming. (9 Marks),0,tbd,sed,0,0,rks),1,1,1,0,0,0,0
1363,OLOOLTEPES SECON . KIBERIAD -,0,tbd,olooltepes,0,0,AD -,0,0,0,1,0,0,0
1749,The speed of light is constant in vacuum ks,0,no,the,0,0,m ks,0,0,0,1,0,0,0
355,II) Explain the key concepts of Science. (8 Marks),1,Yes,ii),0,0,rks),1,1,0,1,1,1,0
555,Black holes are regions of space with mks strong gravity,0,no,black,0,0,vity,0,0,0,1,0,0,0
